"V1","V2","V3","V4","V5"
45006,12390,42019,32857,36048
27971,9923,25249,33457,1757
10816,40688,2904,15031,36278
7448,8174,22878,1784,17611
13786,37333,42805,12681,27439
32653,26781,46195,12741,25746
28796,43937,24559,15689,46080
39345,30831,19338,4413,5777
4050,297,20674,30803,20075
17212,40766,4302,3268,42239
2013,22204,11268,11191,6062
38752,27593,21565,14028,2788
39502,26334,27750,9918,43962
16426,11614,7270,10198,25821
40531,37210,20343,8300,34276
31631,29405,40405,98,9898
13649,9718,45484,3968,23982
36206,34414,19354,37778,9671
37568,13018,40002,39257,31891
37802,42521,20150,35700,42562
5536,39102,26080,15767,23654
725,43599,25366,19034,13093
38361,40592,72,27306,2314
27661,11292,3033,13218,40989
19165,27185,36245,25705,12991
26776,34605,10118,32339,35376
41316,15855,37064,2645,2025
7793,29439,28228,15109,20260
37011,39196,36325,8876,10924
19099,5902,26729,41845,12824
42395,22234,24759,38826,35727
31183,18845,36913,18568,37230
41215,15898,31403,39868,28415
21715,10852,19495,611,33822
36088,3395,17246,23322,34130
3051,11487,40170,24068,9565
16495,5590,36379,38351,227
42428,30650,33813,10632,19687
25236,15044,9452,16144,19400
22277,37220,3944,44199,30703
10379,8949,10955,29900,13004
17453,25995,22973,40471,9903
31876,2158,37186,30974,21357
8563,26953,26769,38931,8685
24933,39927,45172,20955,14759
4501,43506,13247,31728,31532
33779,31201,5493,4005,33205
2931,8349,41785,8632,42682
21738,43125,16458,45695,10257
21379,2605,1254,2049,24314
15488,18408,2196,37427,43149
34513,43450,1563,33945,33048
33930,27808,39224,36024,1343
30046,11078,40813,23092,43303
35768,10063,4137,30828,36213
43516,42209,23964,25611,19640
7308,923,14807,38164,28871
29336,7781,223,24661,13645
2944,6344,766,30840,33202
8007,39971,40584,8679,29398
27909,42870,8918,18441,30213
21979,1621,38798,4029,30711
17125,30801,38388,33671,3181
13453,12069,45854,43013,45798
39411,45098,44359,33595,36709
2959,4432,18023,27752,12399
17067,20506,30922,4013,12356
22735,8686,27723,28603,34609
12717,27680,32727,29516,35012
30137,12688,44586,13814,28675
36473,44759,3951,26154,12756
36144,27530,9808,268,36020
25231,14470,33158,29557,18274
37377,11430,24014,11482,32210
9146,38967,26762,24902,3135
3082,16022,40797,24591,35038
32165,18520,14113,12801,31751
16235,15576,36942,30724,29445
640,9026,19422,4684,3509
34835,41110,29668,1920,39324
24011,11600,1771,42304,3923
513,16044,1137,33642,6340
10741,43601,39915,13105,26459
5912,8360,42875,245,23653
36001,37539,21644,30427,45374
17847,14428,43519,42963,19761
39688,10041,11778,20055,31026
41438,1275,22610,17306,7287
30005,44569,17737,18464,29663
23580,326,18003,3467,28554
383,8411,21560,16672,19215
43226,31469,45072,1865,44202
36087,39593,28797,41897,23421
45483,30723,11206,11011,39403
22097,11194,20254,23851,9965
44538,14011,28077,12278,38006
12523,20504,20181,13370,33872
16194,11275,27736,25842,44679
33599,17437,27133,10867,27959
33233,19105,24705,3906,13141
37551,532,32512,34614,38692
10761,13373,18739,6301,23840
44323,16727,4496,46189,25784
19896,7453,24868,41700,45127
9854,3748,9323,16502,31991
17832,37627,1220,19820,11470
13052,12103,6306,5647,26932
36705,14356,18453,19386,11023
15775,34575,19685,46017,27985
21601,5448,13234,27165,21556
6848,7098,9348,45264,31459
4876,21032,24260,12072,34058
41516,17748,27284,7756,7470
3569,11817,18771,18588,41158
26856,42201,35886,421,36286
7296,9618,8318,30028,26850
23955,45809,2907,6167,44317
30916,41998,24729,15720,35322
18528,31645,12830,333,27410
12315,22816,43098,8944,2366
25001,35489,41517,29267,25703
20140,14306,34425,18087,13018
34148,38521,19272,31943,29659
24071,18282,10958,4095,23081
24744,27952,4488,44386,34012
8642,14418,30277,1529,22030
16521,4551,7124,44661,23749
28155,25050,46204,39330,20934
28972,13325,5794,29631,10347
42695,5006,38451,42204,2900
5092,31436,15545,17021,43984
29826,28843,31213,17132,44396
38269,16160,7100,43550,30753
14264,12722,9668,1088,15788
13818,35454,18803,15149,6541
30593,44899,27226,22636,42066
23525,39191,8668,36846,7521
1636,19578,5565,44775,37972
14355,29384,21635,44599,46122
23254,3589,23583,17432,6761
5281,21864,34080,37836,11009
28337,15493,43289,12131,10047
29982,13705,29326,25274,2572
15106,31546,27028,45013,42507
5301,38351,23569,17353,26239
27960,37314,11381,32453,6950
17828,15370,20724,23745,4118
1942,43380,9725,7222,35670
17006,32628,19099,18987,18186
20762,402,11333,39627,12392
6573,14420,33670,15366,7011
15842,1058,38796,15934,44388
45448,9696,5424,11209,9514
33241,34904,3870,3170,43306
15942,27033,25297,36823,20009
20327,25440,29374,16278,44687
39351,35363,38684,8052,13471
5786,19325,12605,1235,1486
25293,33869,18207,1747,16631
35083,5492,16223,38511,44337
5165,24189,46298,17220,19722
31552,26207,30597,20170,15494
42630,1912,5895,22422,15841
