ballot_imprint_id,ballot_file,votes
2-10-68,20200421100445855_2-10-68.json,{"1":{"1":3 "4":4 "5":2 "8":1 "11":5}}
2-38-20,20200421100536967_2-38-20.json,{"1":{"4":1}}
2-4-48,20200421100617372_2-4-48.json,{"1":{"1":1 "4":3 "7":2}}
2-5-90,20200421100649816_2-5-90.json,{"1":{"4":1 "8":2}}
2-6-39,20200421100740339_2-6-39.json,{"1":{"1":1 "4":3 "5":5 "9":2 "11":4}}
3-10-79,20200421100813780_3-10-79.json,{"1":{"1":1 "4":2}}
3-10-8,20200421100846493_3-10-8.json,{"1":{"1":2 "4":1}}
3-16-25,20200421100928258_3-16-25.json,{"1":{"1":1}}
3-17-31,20200421101016860_3-17-31.json,{"1":{"1":3 "4":1 "8":5 "9":2 "11":4}}
3-20-28,20200421101049173_3-20-28.json,{"1":{"1":1 "4":2}}
4-1-50,20200421101118233_4-1-50.json,{"1":{"1":1}}
4-14-96,20200421101208499_4-14-96.json,{"1":{"1":5 "4":1 "5":4 "8":2 "11":3}}
4-15-69,20200421101235593_4-15-69.json,{"1":{"1":1}}
4-2-73,20200421101308383_4-2-73.json,{"1":{"1":1}}
4-25-100,20200421101336945_4-25-100.json,{"1":{"1":1}}
4-25-33,20200421101409123_4-25-33.json,{"1":{"1":1 "4":2}}
4-29-6,20200421101438180_4-29-6.json,{"1":{"1":1}}
4-43-7,20200421101519617_4-43-7.json,{"1":{"1":1 "8":2 "11":3}}
4-47-18,20200421101546302_4-47-18.json,{"1":{"1":1}}
4-53-89,20200421101619257_4-53-89.json,{"1":{"1":1 "4":2}}
